,GSE96769#SRR5355219,GSE96769#SRR5355440,GSE96769#SRR5355614,GSE96769#SRR5355849,GSE96769#SRR5356042
GSE96769#SRR5354172,0.47883212281656834,0.01848827660581265,0.023981662914411558,0.43224111192832754,0.0464568257348761
GSE96769#SRR5353620,0.28529778738046163,0.026603008295603598,0.03413070506709282,0.5902559850915485,0.06371251416528838
GSE96769#SRR5355074,0.08444284413497682,0.14597339724109937,0.08147970961015925,0.6172542188632398,0.07084983015052196
GSE96769#SRR5354290,0.34885041840678044,0.023347526505102828,0.02979353667898499,0.5400089442395385,0.057999574169590604
GSE96769#SRR5353959,0.2684349458662823,0.029082474734730086,0.03589502969707211,0.6014738201857046,0.06511372951620716
GSE96769#SRR5355614,0.0,0.0,0.9984786139861759,0.0,0.0
GSE96769#SRR5355154,0.8242761539903669,0.0,0.0,0.14572676474146518,0.01566223691369554
GSE96769#SRR5355832,0.03614237484799496,0.012375012075179244,0.020041518825451694,0.8604361607886943,0.07100493346267889
GSE96769#SRR5353525,0.2839568473558365,0.027482668512714376,0.0341072845823035,0.5906949391590266,0.0637582603901146
GSE96769#SRR5354677,0.3745956673125671,0.02209244740520106,0.028760309978045035,0.5187961574992693,0.055755417804912985
GSE96769#SRR5355768,0.0,0.0,0.9980063271354611,0.0,0.0
GSE96769#SRR5353917,0.2858842372880796,0.026577851399604255,0.034118068335437325,0.5897611020338501,0.06365874094302361
GSE96769#SRR5356155,0.055433696786483425,0.021153431015280718,0.034977799766715736,0.7949202451943737,0.09351482723714478
GSE96769#SRR5355149,0.9055049410232232,0.0,0.0,0.07836389878415609,0.0
GSE96769#SRR5355327,0.9154577750799442,0.0,0.0,0.07011007586770951,0.0
GSE96769#SRR5353557,0.28614639750265547,0.02656077469819121,0.03407169786438708,0.5895838833356799,0.06363724659907813
GSE96769#SRR5353425,0.28614148758749025,0.026561018600627272,0.034072046286563476,0.5895877655929768,0.06363768193233561
GSE96769#SRR5356025,0.010346762766103744,0.0,0.0,0.18310588766689362,0.7965226599726745
GSE96769#SRR5354853,0.04484007620520901,0.0162464020163456,0.02655472243009565,0.8074058246448547,0.10495297470349371
GSE96769#SRR5355058,0.05999262050551141,0.021954406972895343,0.035206107954856215,0.7932492917376903,0.08959757282904482
GSE96769#SRR5354555,0.2847938669961147,0.02663028260562301,0.03414277188658666,0.5906754831083861,0.0637575954032847
GSE96769#SRR5354064,0.0915692029553168,0.07662974050340726,0.0847847039224305,0.6701095281892583,0.07690682442958373
GSE96769#SRR5354174,0.5104778505718393,0.017371428578789025,0.022525250726628372,0.4059901234583889,0.04363534666435009
GSE96769#SRR5353747,0.28658482055171397,0.02655507732897345,0.0341069637485285,0.5891591066306354,0.0635940317401441
GSE96769#SRR5353962,0.3080467961295491,0.024944037818052045,0.032362875579225625,0.5729500632849329,0.06169622718823555
GSE96769#SRR5354451,0.36478794858714464,0.022597745764961125,0.029298823607320106,0.5266912365713557,0.05662424546921378
GSE96769#SRR5355131,0.9013434106683382,0.0,0.0,0.08181503894237643,0.0
GSE96769#SRR5353385,0.28548634585609,0.026597990149385648,0.03413095646141762,0.5900898793795369,0.0636948281535651
GSE96769#SRR5354646,0.28582989777178536,0.026095499552759024,0.03380232420243406,0.5905817701995073,0.06369050827351029
GSE96769#SRR5354551,0.38510235876966986,0.021744794997875815,0.028284502887624442,0.5100510277424023,0.054817315602423575
GSE96769#SRR5354299,0.3300346450454688,0.024104393027645082,0.03044659193251911,0.555771951548233,0.059642418446131856
GSE96769#SRR5353423,0.2859958801558262,0.026568254442677235,0.034082390905465144,0.5897028831472549,0.06365059134877082
GSE96769#SRR5355066,0.04567339479160451,0.016294578809253054,0.026550461490871376,0.8207262688880878,0.090755296020182
GSE96769#SRR5355329,0.9166356134424826,0.0,0.0,0.06913330213322509,0.0
GSE96769#SRR5355083,0.051409209654713774,0.01893263416260282,0.03098286060216665,0.8058771205457433,0.0927981750347717
GSE96769#SRR5354235,0.39055032323427463,0.021553899490394532,0.028032529760171336,0.5055319345900368,0.0543313129251186
GSE96769#SRR5355602,0.0,0.0,0.9934029540711179,0.0,0.0
GSE96769#SRR5353702,0.2856147845709973,0.026597780420595376,0.03413739307503869,0.5899672309260947,0.06368281100726889
GSE96769#SRR5354529,0.2861972221302373,0.026500111290480837,0.033794227895536856,0.5898608409486001,0.06364759773513978
GSE96769#SRR5354323,0.3483128291893631,0.023589082027793234,0.029678534355074993,0.5404119150250087,0.05800763940276148
GSE96769#SRR5354667,0.35497793301646796,0.022737949075761786,0.029642448766126178,0.5351349178824063,0.057506751259233845
GSE96769#SRR5353971,0.2899005183745733,0.026198190725056355,0.03374759627138168,0.5868463541803823,0.0633073404486017
GSE96769#SRR5354568,0.4150404536853775,0.020719296026724728,0.026913085634548462,0.4851813337257243,0.0521458309276211
GSE96769#SRR5355745,0.0,0.0,0.9979084126114576,0.0,0.0
GSE96769#SRR5354271,0.3481115960762623,0.023594787346723146,0.02968554096776252,0.5405826492417896,0.05802542636746429
GSE96769#SRR5353956,0.28649848843815445,0.02654401084832141,0.03409265924645995,0.5892616851582528,0.06360315630880733
